Date,Open,High,Low,Close,Volume,Adj Close
11/30/2015,19857.38086,19867.94922,19707.66992,19747.4707,156400,19747.4707
11/27/2015,19994.05078,19994.05078,19831.25,19883.93945,111200,19883.93945
11/26/2015,19929.9707,19992.43945,19926.09961,19944.41016,113800,19944.41016
11/25/2015,19856.83984,19871.75,19786.5293,19847.58008,129200,19847.58008
11/24/2015,19875.99023,19954,19834.75977,19924.89063,0,19924.89063
11/20/2015,19800.19922,19879.81055,19715.74023,19879.81055,106400,19879.81055
11/19/2015,19851.24023,19959.06055,19761.56055,19859.81055,135400,19859.81055
11/18/2015,19771.85938,19840,19643.9707,19649.17969,122900,19649.17969
11/17/2015,19641.66992,19726.00977,19628.83984,19630.63086,141000,19630.63086
11/16/2015,19263.96094,19451.08984,19252.03906,19393.68945,108200,19393.68945
11/13/2015,19495.25977,19601.49023,19388.91016,19596.91016,134900,19596.91016
11/12/2015,19644.65039,19725.83008,19597.99023,19697.76953,0,19697.76953
11/11/2015,19602.00977,19724.11914,19602.00977,19691.39063,127400,19691.39063
11/10/2015,19457.05078,19674.05078,19457.05078,19671.25977,127300,19671.25977
11/9/2015,19411.50977,19684.41016,19389.74023,19642.74023,163700,19642.74023
11/6/2015,19194.33984,19294.15039,19164.85938,19265.59961,117700,19265.59961
11/5/2015,19029.43945,19167.08984,18995.96094,19116.41016,141500,19116.41016
11/4/2015,18941.32031,19151.89063,18926.91016,18926.91016,152300,18926.91016
11/2/2015,18827.10938,18861.10938,18641.2207,18683.24023,143900,18683.24023
10/30/2015,18924.31055,19202.33984,18784.68945,19083.09961,176500,19083.09961
10/29/2015,19046.16016,19080.89063,18809.48047,18935.71094,172900,18935.71094
10/28/2015,18826.93945,18925.50977,18815.11914,18903.01953,106900,18903.01953
10/27/2015,18961.16016,18964.99023,18760.78906,18777.03906,119600,18777.03906
10/26/2015,19036.13086,19088.75977,18937.44922,18947.11914,118100,18947.11914
10/23/2015,18762.65039,18915.64063,18746.60938,18825.30078,143100,18825.30078
10/22/2015,18443.68945,18579.18945,18376.00977,18435.86914,0,18435.86914
10/21/2015,18167.64063,18605.41016,18167.64063,18554.2793,0,18554.2793
10/20/2015,18245.53906,18253.13086,18147.98047,18207.15039,0,18207.15039
10/19/2015,18282.7793,18314.08984,18078.42969,18131.23047,0,18131.23047
10/16/2015,18300.83008,18397.51953,18238.7793,18291.80078,125700,18291.80078
10/15/2015,17804.91016,18170.66992,17758.11914,18096.90039,127700,18096.90039
10/14/2015,18106.66016,18126.39063,17831.5293,17891,0,17891
10/13/2015,18335.15039,18359.71094,18223.80078,18234.74023,140000,18234.74023
10/9/2015,18281.50977,18438.66992,18184.96094,18438.66992,179500,18438.66992
10/8/2015,18310.61914,18400.68945,18121.67969,18141.16992,153600,18141.16992
10/7/2015,18168.19922,18379.23047,18043.08008,18322.98047,156000,18322.98047
10/6/2015,18302.41016,18372.7207,18094.84961,18186.09961,143200,18186.09961
10/5/2015,17921,18079.46094,17869.74023,18005.49023,117300,18005.49023
10/2/2015,17564.39063,17775.76953,17537.84961,17725.13086,121500,17725.13086
10/1/2015,17479.9707,17831.58008,17389.57031,17722.41992,156400,17722.41992
9/30/2015,17193.83984,17460.9707,17179.40039,17388.15039,151800,17388.15039
9/29/2015,17359.38086,17366.94922,16901.49023,16930.83984,0,16930.83984
9/28/2015,17811.11914,17886.49023,17562.59961,17645.10938,126900,17645.10938
9/25/2015,17618.30078,17880.50977,17483.68945,17880.50977,179300,17880.50977
9/24/2015,17803.41016,17865.83984,17571.83008,17571.83008,0,17571.83008
9/18/2015,18275.48047,18295.90039,18069.5,18070.21094,166800,18070.21094
9/17/2015,18361.99023,18468.19922,18289.63086,18432.26953,127000,18432.26953
9/16/2015,18238.15039,18291.9707,18094.99023,18171.59961,122200,18171.59961
9/15/2015,18082.7207,18329.57031,17995.98047,18026.48047,142000,18026.48047
9/14/2015,18341.00977,18344.07031,17925.08984,17965.69922,0,17965.69922
9/11/2015,18155.71094,18362.99023,18124.34961,18264.2207,195500,18264.2207
9/10/2015,18418.64063,18420.56055,17956.15039,18299.61914,167500,18299.61914
9/9/2015,17758.13086,18770.50977,17756.75977,18770.50977,195600,18770.50977
9/8/2015,17941.91016,17962.56055,17415.60938,17427.08008,150300,17427.08008
9/7/2015,17674.82031,18013.64063,17478.7207,17860.4707,159700,17860.4707
